#KOI	KIC	Kp	CDPP	RA	DEC	Teff	log(g)	R	M	Teff	 
# [mag]	[ppm]	[Hr]	[Deg]	[K]	[cgs]	[Rsun]	[Msun]	 
1	11446443	11.338	14	19.12056	49.3164	5713	4.14	1.50	1.14	 
2	10666592	10.463	21.9	19.48315	47.9695	6577	4.32	1.34	1.36	1	 
3	10748390	9.147	97.8	19.84729	48.0809	4628	4.53	0.76	0.71	1	 
4	3861595	11.432	126	19.62377	38.9474	6054	4.41	1.08	1.11	 
5	8554498	11.665	20.2	19.31598	44.6474	5766	4.04	1.73	1.18	 
7	11853905	12.211	71.2	19.04102	50.1358	5701	4.35	1.16	1.08	 
10	6922244	13.563	58.6	18.75254	42.4511	6164	4.44	1.05	1.12	 
12	5812701	11.353	82	19.83025	41.0110	6419	4.26	1.32	1.17	 
13	9941662	9.958	10.4	19.13141	46.8684	8848	3.93	2.44	1.83	 
17	10874614	13.000	38.6	19.78915	48.2399	5724	4.47	0.91	0.91	1	 
18	8191672	13.369	63.9	19.96047	44.0351	5816	4.46	0.95	0.95	1	 
20	11804465	13.438	46.8	19.08290	50.0404	6012	4.47	1.01	1.09	 
22	9631995	13.435	63.5	18.84198	46.3234	5859	4.53	0.94	1.07	 
41	6521045	11.000	32.7	19.42573	41.9903	5692	4.51	0.95	1.06	 
42	8866102	9.364	41.6	18.87671	45.1398	6035	4.22	1.37	1.14	 
44	8845026	13.483	324	20.01012	45.0896	5490	4.48	0.88	0.85	1	 
46	10905239	13.770	52.1	18.88370	48.3552	5562	4.48	0.89	0.87	1	 
49	9527334	13.704	142	19.48327	46.1648	5848	4.45	0.97	0.97	1	 
51	6056992	13.761	461	19.72792	41.3324	3240	4.90	0.27	0.21	1	 
63	11554435	11.582	171	19.28175	49.5482	5533	4.40	1.07	1.05	 
64	7051180	13.143	119	19.76737	42.5474	5128	3.94	1.94	1.19	 
69	3544595	9.931	11.1	19.42789	38.6724	5480	4.43	1.03	1.04	 
70	6850504	12.498	73.7	19.17987	42.3387	5342	4.72	0.70	0.95	 
72	11904151	10.961	44.2	19.04529	50.2413	5491	4.47	0.98	1.03	 
75	7199397	10.775	27.6	19.43315	42.7285	5718	4.40	1.08	1.08	 
82	10187017	11.492	59.6	18.76552	47.2080	4727	3.96	1.86	1.14	 
84	2571238	11.898	50.9	19.36139	37.8518	5347	4.58	0.84	0.98	 
85	5866724	11.018	41.6	19.24591	41.1512	6006	4.07	1.66	1.19	 
87	10593626	11.664	32.5	19.28117	47.8845	5606	4.36	1.14	1.07	 
89	8056665	11.642	28.4	19.98808	43.8143	7490	3.90	2.24	1.45	 
92	7941200	11.667	34	18.89165	43.7882	5850	4.28	1.26	1.11	 
94	6462863	12.205	0	19.82220	41.8911	6090	4.08	1.66	1.20	 
97	5780885	12.885	35.6	19.23877	41.0898	5944	4.27	1.29	1.12	 
98	10264660	12.128	46.7	19.18059	47.3331	6659	3.92	2.08	1.31	 
99	8505215	12.960	43.8	19.69562	44.5311	4951	4.33	1.11	0.97	 
100	4055765	12.598	115	19.41186	39.1995	6440	3.69	2.79	1.39	 
102	8456679	12.566	31.2	19.98032	44.4358	5919	3.90	2.08	1.24	 
103	2444412	12.593	78.7	19.44556	37.7516	5493	4.63	0.80	1.00	 
104	10318874	12.895	42.4	18.74632	47.4971	4411	4.56	0.73	0.71	 
105	8711794	12.870	33.6	19.92914	44.8579	5450	3.96	1.88	1.19	 
107	11250587	12.702	58.4	19.65568	48.9824	5816	4.46	1.01	1.08	 
108	4914423	12.287	30.5	19.26564	40.0645	5872	4.36	1.15	1.10	 
110	9450647	12.663	43.7	18.97038	46.0638	6344	4.35	1.18	1.14	 
111	6678383	12.596	32.5	19.17364	42.1668	5853	4.46	1.02	1.08	 
112	10984090	12.772	44.7	19.70991	48.4956	5839	4.31	1.22	1.11	 
113	2306756	12.394	36.7	19.48492	37.6716	5362	4.34	1.15	1.04	 
115	9579641	12.791	59.4	19.19249	46.2762	6202	4.25	1.34	1.15	 
116	8395660	12.882	71.9	20.05760	44.3376	5980	3.96	1.91	1.22	 
117	10875245	12.487	55.1	19.80188	48.2086	5725	4.47	1.00	1.07	 
118	3531558	12.377	41.6	19.15752	38.6496	5605	4.49	0.97	1.05	 
119	9471974	12.654	31.7	19.63728	46.0623	5380	4.44	1.00	1.02	 
122	8349582	12.346	46.5	18.96550	44.3980	5569	4.58	0.86	1.03	 
123	5094751	12.365	48.6	19.35951	40.2849	5897	4.29	1.25	1.11	 
124	11086270	12.935	41.1	19.52861	48.6028	6076	4.25	1.32	1.14	 
127	8359498	13.938	261	19.30720	44.3454	5570	4.53	0.92	1.04	 
128	11359879	13.758	70.7	19.74671	49.1401	5718	4.18	1.43	1.13	 
131	7778437	13.797	239	19.93984	43.4976	6244	4.40	1.10	1.13	 
135	9818381	13.958	266	19.01606	46.6683	5953	4.51	0.95	1.08	 
137	8644288	13.549	54.7	19.87196	44.7463	5289	4.25	1.27	1.05	 
138	8506766	13.960	55	19.72939	44.5784	6772	4.12	1.62	1.26	 
139	8559644	13.492	68.4	19.44355	44.6883	5921	4.56	0.90	1.07	 
141	12105051	13.687	74.6	19.20255	50.6516	5277	4.60	0.81	0.97	 
142	5446285	13.113	87.2	19.40987	40.6694	5361	4.68	0.74	0.96	 
144	4180280	13.698	122	19.76829	39.2498	4724	4.00	1.75	1.11	 
148	5735762	13.040	95.1	19.94261	40.9490	5063	4.51	0.89	0.94	 
149	3835670	13.397	86.8	19.10867	38.9456	6059	4.23	1.35	1.14	 
150	7626506	13.771	75.8	19.79873	43.2098	5538	4.29	1.23	1.08	 
151	2307199	14.000	104	19.49165	37.6310	6028	4.40	1.09	1.11	 
152	8394721	13.914	108	20.03448	44.3816	6187	4.54	0.94	1.10	 
153	12252424	13.461	89.6	19.19986	50.9443	4647	4.41	0.95	0.85	 
155	8030148	13.494	76.3	19.48810	43.8812	5651	4.18	1.42	1.12	 
156	10925104	13.738	142	19.60809	48.3495	4450	4.54	0.76	0.73	 
157	6541920	13.709	111	19.80767	41.9091	5675	4.47	1.00	1.06	 
159	8972058	13.431	78.6	19.84746	45.2619	5823	4.31	1.22	1.10	 
161	5084942	13.341	81.1	19.13678	40.2116	4768	4.04	1.66	1.09	 
162	8107380	13.837	66.9	19.67759	43.9630	5632	4.45	1.01	1.06	 
163	6851425	13.536	75.8	19.20451	42.3554	5151	4.37	1.08	1.00	 
165	9527915	13.938	82.9	19.49913	46.1962	4956	4.76	0.64	0.85	 
166	2441495	13.575	78.4	19.40146	37.7698	5216	4.24	1.28	1.04	 
167	11666881	13.273	66.5	19.63093	49.7650	6285	4.60	0.87	1.10	 
168	11512246	13.438	73.8	19.61460	49.4792	5877	3.97	1.88	1.21	 
171	7831264	13.717	79.7	19.64947	43.5368	6287	4.41	1.10	1.13	 
172	8692861	13.749	79.6	19.55073	44.8689	5603	4.80	0.66	0.98	 
173	11402995	13.844	57	19.46047	49.2621	5752	4.52	0.94	1.06	 
174	10810838	13.779	64.5	19.78819	48.1076	4654	4.54	0.80	0.80	 
176	6442377	13.432	56.9	19.44312	41.8847	6340	4.49	1.00	1.12	 
177	6803202	13.182	52.8	19.87848	42.2370	5620	4.39	1.10	1.07	 
179	9663113	13.955	57.8	19.80303	46.3287	5827	4.42	1.07	1.08	 
180	9573539	13.024	70.7	18.95962	46.2491	5549	4.62	0.82	1.01	 
183	9651668	14.290	343	19.52372	46.3912	5722	4.71	0.74	1.02	 
186	12019440	14.952	128	19.66642	50.4701	5826	4.56	0.89	1.06	 
187	7023960	14.857	103	19.24863	42.5509	5768	4.70	0.75	1.03	 
188	5357901	14.741	82.9	19.35720	40.5677	5087	4.73	0.67	0.89	 
189	11391018	14.388	88.8	18.99200	49.2670	4787	4.50	0.86	0.86	 
190	5771719	14.137	416	18.97659	41.0150	5425	4.23	1.33	1.08	 
191	5972334	14.991	134	19.68582	41.2220	5495	4.52	0.92	1.02	 
192	7950644	14.221	82.7	19.21697	43.7049	5936	4.46	1.01	1.09	 
193	10799735	14.904	96.7	19.52508	48.1953	5883	4.47	1.01	1.08	 
194	10904857	14.804	561	18.86441	48.3451	5883	4.63	0.82	1.05	 
195	11502867	14.835	284	19.29564	49.4734	5604	4.50	0.96	1.05	 
196	9410930	14.465	84.4	19.63422	45.9816	5585	4.51	0.94	1.04	 
197	2987027	14.018	267	19.38888	38.1844	4907	4.38	1.03	0.94	 
199	10019708	14.879	94.4	19.66838	46.9560	6214	4.60	0.87	1.09	 
200	6046540	14.412	82.1	19.53950	41.3555	5774	4.69	0.76	1.03	 
201	6849046	14.014	70.3	19.14204	42.3502	5491	4.45	1.00	1.04	 
202	7877496	14.309	141	19.07402	43.6810	5912	4.44	1.04	1.09	 
203	10619192	14.141	760	19.89302	47.8150	5634	4.49	0.97	1.05	 
204	9305831	14.678	202	20.00682	45.7621	5287	4.48	0.95	0.99	 
205	7046804	14.518	104	19.69978	42.5379	5060	4.57	0.83	0.93	 
206	5728139	14.463	134	19.83958	40.9773	5771	4.35	1.16	1.09	 
208	3762468	14.996	962	19.68717	38.8816	6094	4.59	0.88	1.08	 
209	10723750	14.274	74.9	19.25287	48.0402	6221	4.48	1.01	1.11	 
211	10656508	14.989	105	19.19802	47.9721	6072	4.41	1.09	1.11	 
212	6300348	14.858	0	19.74265	41.6032	5843	4.54	0.92	1.07	 
214	11046458	14.256	114	19.90833	48.5775	5322	4.44	1.00	1.01	 
216	6152974	14.711	164	19.94754	41.4248	5086	4.31	1.16	1.00	 
217	9595827	15.127	707	19.65770	46.2859	5504	4.72	0.71	0.98	 
219	6305192	14.153	235	19.81427	41.6640	5347	4.73	0.70	0.95	 
220	7132798	14.236	57.9	19.72976	42.6589	5388	4.87	0.59	0.92	 
221	3937519	14.622	98.9	19.06205	39.0981	5176	4.69	0.72	0.92	 
222	4249725	14.735	181	19.19278	39.3391	4353	4.71	0.58	0.64	 
223	4545187	14.708	139	19.07747	39.6780	5128	4.66	0.74	0.92	 
225	5801571	14.784	270	19.66089	41.0747	6037	4.55	0.92	1.08	 
226	5959753	14.817	149	19.44273	41.2410	5043	4.89	0.54	0.84	 
227	6185476	14.267	156	18.95680	41.5192	4043	4.54	0.67	0.57	 
